Tag,Publication Date,Sample Size
Clement_2017,2017-05,477
Ward_2011,2011-02,0
Ward_2019,2019-10,438
Guerra_2022,2022-06,0
Stenbery_2005,2005-08,0
Harpaz_2020,2020-08,14
Webster_2012,2012-02,112
Laland_1997,1997-06,108
Ward_2012,2012-03,0
Ward_2007,2008-03,0
Hintz_2018,2018-10,700
Hamilton_2003,2003-12,0
Foster_1985,1985-08,0
Pitcher_1981,1981-04,0
Guerra_2022,2022-06,0
Snijders_2021,2012-01,5070
Godin_1986,1986-01,0
Reinthal_1986,1986-12,181
Balaban-Feld_2019,2019-05,0
Magurran_1990,1990-09,0
Polyakov_2022,2022-07,4765
Johnsson_2003,2003-10,24
White_2007,2007-11,152
Nunes_2012,2013-09,540
Day_2001,2001-11,112
Baird_1991,1991-07,6
O'Driscool_1998,1998-01,115
Pitcher_1983,1983-05,36
Morgan_1987,1987-10,15
Morgan_1988,1988-09,15
Rehnberg_1988,1988-07,0
Eggers_1976,1976-09,0
Freeman_1992,1992-09,7
Silva_2020,2020-03,250
